id,x[m],y[m],z[m],t[s]
1,0.22,0.86,0.4,0.0
1,-0.21,0.43,0.4,2.0
1,-0.21,0.43,0.4,4.0
1,-0.21,0.43,0.4,6.0
1,-0.21,-0.0,0.4,8.0
1,-0.21,-0.43,0.4,10.0
1,-0.21,-0.86,0.4,12.0
1,-0.65,-1.29,0.4,14.0
1,-0.65,-1.29,0.4,16.0
1,-0.21,-0.86,0.4,18.0
1,-0.21,-0.43,0.4,20.0
1,-0.21,-0.0,0.4,22.0
1,0.22,0.43,0.4,24.0
1,0.22,0.86,0.4,26.0
2,0.22,0.43,0.4,0.0
2,-0.21,-0.0,0.4,2.0
2,-0.21,-0.43,0.4,4.0
2,0.22,-0.86,0.4,6.0
2,0.22,-0.86,0.4,8.0
2,0.22,-0.86,0.4,10.0
2,-0.21,-0.43,0.4,12.0
2,-0.21,-0.0,0.4,14.0
2,0.22,0.43,0.4,16.0
2,0.22,0.86,0.4,18.0
2,0.22,1.29,0.4,20.0
2,0.22,1.29,0.4,22.0
2,0.22,1.29,0.4,24.0
2,0.65,0.86,0.4,26.0
2,0.22,0.43,0.4,28.0
2,0.22,0.43,0.4,30.0
3,-0.65,0.86,0.4,0.0
3,-0.65,0.86,0.4,2.0
3,-0.65,0.43,0.4,4.0
3,-0.21,-0.0,0.4,6.0
3,-0.21,-0.43,0.4,8.0
3,-0.21,-0.86,0.4,10.0
3,0.22,-0.86,0.4,12.0
3,0.22,-0.86,0.4,14.0
3,0.22,-0.86,0.4,16.0
3,-0.21,-0.43,0.4,18.0
3,-0.21,-0.0,0.4,20.0
3,-0.21,0.43,0.4,22.0
3,-0.21,0.86,0.4,24.0
3,-0.21,0.86,0.4,26.0
3,-0.21,1.29,0.4,28.0
3,-0.21,1.29,0.4,30.0
3,-0.21,1.29,0.4,32.0
3,-0.65,0.86,0.4,34.0
3,-0.65,0.86,0.4,36.0
4,-0.65,0.43,0.4,0.0
4,-0.65,0.43,0.4,2.0
4,-0.21,-0.0,0.4,4.0
4,-0.21,-0.43,0.4,6.0
4,-0.21,-0.86,0.4,8.0
4,0.22,-1.29,0.4,10.0
4,0.22,-1.29,0.4,12.0
4,0.22,-1.29,0.4,14.0
4,-0.21,-0.86,0.4,16.0
4,0.22,-0.86,0.4,18.0
4,-0.21,-0.86,0.4,20.0
4,-0.21,-0.43,0.4,22.0
4,-0.21,-0.0,0.4,24.0
4,0.22,0.43,0.4,26.0
4,0.22,0.86,0.4,28.0
4,0.22,1.29,0.4,30.0
4,0.22,1.29,0.4,32.0
4,0.22,1.29,0.4,34.0
4,-0.21,0.86,0.4,36.0
4,-0.65,0.43,0.4,38.0
4,-0.65,0.43,0.4,40.0
5,-0.21,-0.86,0.4,0.0
5,-0.21,-0.43,0.4,2.0
5,-0.21,-0.86,0.4,4.0
5,-0.21,-0.86,0.4,6.0
5,0.22,-1.29,0.4,8.0
5,-0.21,-1.29,0.4,10.0
5,-0.21,-1.29,0.4,12.0
5,-0.21,-0.86,0.4,14.0
5,-0.21,-0.43,0.4,16.0
5,-0.21,-0.0,0.4,18.0
5,-0.21,0.43,0.4,20.0
5,0.22,0.43,0.4,22.0
5,-0.21,0.43,0.4,24.0
5,-0.21,0.43,0.4,26.0
5,-0.21,0.43,0.4,28.0
5,0.22,0.86,0.4,30.0
5,0.65,1.29,0.4,32.0
5,0.65,1.29,0.4,34.0
5,0.65,1.29,0.4,36.0
5,0.22,0.86,0.4,38.0
5,-0.21,0.43,0.4,40.0
5,-0.21,-0.0,0.4,42.0
5,-0.21,-0.43,0.4,44.0
5,-0.21,-0.86,0.4,46.0
5,-0.21,-0.86,0.4,48.0
